Observation_ID,Date,Year,Time,Behavior,Sender_ID,Sender_plumage_category,Sender_sex,Sender_age,Sender_age_exact,Receiver_ID,Receiver_sex,Receiver_age,Receiver_age_exact,Social_mate,Prev_breeding_group
OPP322,2016-08-12,2016,7H 54M 0S,Chasing,JC5,Unornamented,F,6,min,HB0,F,4,min,NA,0
OPP323,2016-08-13,2016,8H 51M 0S,Allopreening,DE6,Unornamented,F,5,min,HB1,M,2,exact,0,1
OPP324,2016-08-13,2016,10H 58M 0S,Allopreening,HI6,Unornamented,F,2,exact,IB2,M,2,exact,1,0
OPP325,2016-08-09,2016,7H 20M 0S,Courtship,IE6,Ornamented,M,3,exact,FC4,F,2,exact,0,0
OPP326,2016-08-09,2016,8H 15M 0S,Allopreening,EB7,Unornamented,F,2,exact,JC1,M,1,min,0,0
OPP327,2016-08-09,2016,8H 15M 0S,Allopreening,IA3,Unornamented,M,5,exact,EB7,F,2,exact,0,1
OPP328,2016-08-09,2016,8H 15M 0S,Allopreening,FD9,Unornamented,F,4,min,JC1,M,1,min,0,0
OPP329,2016-08-09,2016,8H 37M 0S,Allopreening,FD9,Unornamented,F,4,min,IA3,M,5,exact,1,0
OPP330,2016-08-12,2016,10H 12M 0S,Courtship,JC3,Ornamented,M,3,exact,IB1,F,3,exact,0,0
OPP331,2016-08-16,2016,7H 50M 0S,Allopreening,FC4,Unornamented,F,2,exact,JD6,M,4,min,1,0
OPP332,2016-08-16,2016,7H 58M 0S,Allopreening,IB1,Unornamented,F,3,exact,FE8,F,1,exact,0,1
OPP333,2016-08-16,2016,7H 58M 0S,Allopreening,FE8,Unornamented,F,1,exact,DA1,F,3,exact,0,0
OPP334,2016-08-16,2016,7H 58M 0S,Allopreening,IB1,Unornamented,F,3,exact,DA1,F,3,exact,0,0
OPP335,2016-08-16,2016,8H 20M 0S,Allopreening,GG4,Unornamented,M,2,exact,JC3,M,3,exact,0,0
OPP336,2016-08-18,2016,12H 46M 0S,Allopreening,EI4,Unornamented,F,5,min,FB7,M,1,exact,1,NA
OPP337,2016-08-16,2016,12H 8M 0S,Allopreening,GD5,Unornamented,M,2,exact,DB4,F,2,exact,1,1
OPP338,2016-08-18,2016,7H 12M 0S,Chasing,IB2,Unornamented,M,2,exact,AJ6,F,4,min,0,0
OPP339,2016-08-18,2016,7H 12M 0S,Chasing,HI6,Unornamented,F,2,exact,AJ6,F,4,min,0,0
OPP340,2016-08-18,2016,7H 36M 0S,Chasing,GA7,Unornamented,F,2,exact,AJ6,F,4,min,0,0
OPP341,2016-08-13,2016,7H 0M 0S,Chasing,JD6,Ornamented,M,4,min,FC4,F,2,exact,1,0
OPP342,2016-08-13,2016,7H 0M 0S,Courtship,JD6,Ornamented,M,4,min,FC4,F,2,exact,1,0
OPP343,2016-08-13,2016,8H 17M 0S,Allopreening,IE6,Ornamented,M,3,exact,IB1,F,3,exact,1,1
OPP344,2016-08-13,2016,12H 50M 0S,Courtship,DI0,Ornamented,M,5,exact,FB7,M,1,exact,0,NA
OPP345,2016-08-13,2016,12H 50M 0S,Courtship,DI0,Ornamented,M,5,exact,EI4,F,5,min,0,NA
OPP346,2016-08-13,2016,12H 50M 0S,Chasing,FB7,Unornamented,M,1,exact,EI4,F,5,min,1,NA
OPP347,2016-08-21,2016,10H 29M 0S,Allopreening,HD6,Moulting,M,4,exact,HD4,F,5,min,0,1
OPP348,2016-08-21,2016,11H 2M 0S,Allopreening,IE6,Ornamented,M,3,exact,IB1,F,3,exact,1,1
OPP349,2016-08-21,2016,12H 29M 0S,Chasing,FB7,Unornamented,M,1,exact,AA0,M,1,exact,0,NA
OPP350,2016-08-21,2016,12H 32M 0S,Chasing,EI4,Unornamented,F,5,min,AA0,M,1,exact,0,NA
OPP351,2016-08-21,2016,12H 49M 0S,Chasing,BI9,Unornamented,F,3,min,AA0,M,1,exact,0,NA
OPP352,2016-08-21,2016,14H 30M 0S,Allopreening,JC3,Ornamented,M,3,exact,DA1,F,3,exact,0,1
OPP353,2016-08-22,2016,6H 46M 0S,Allopreening,HI6,Unornamented,F,2,exact,IB2,M,2,exact,1,0
OPP354,2016-08-22,2016,7H 16M 0S,Allopreening,JC5,Unornamented,F,6,min,FB6,M,2,exact,0,0
OPP355,2016-08-22,2016,7H 53M 0S,Chasing,JH4,Unornamented,M,1,exact,BF0,F,2,min,0,NA
OPP356,2016-08-22,2016,8H 54M 0S,Chasing,IE0,Unornamented,F,3,exact,AJ6,F,4,min,0,0
OPP357,2016-08-23,2016,6H 13M 0S,Chasing,JC3,Ornamented,M,3,exact,EB7,F,2,exact,0,0
OPP358,2016-08-23,2016,6H 26M 0S,Courtship,JC3,Ornamented,M,3,exact,DA1,F,3,exact,0,1
OPP359,2016-08-23,2016,7H 10M 0S,Courtship,JD6,Ornamented,M,4,min,JG1,F,2,exact,0,0
OPP360,2016-08-23,2016,7H 10M 0S,Chasing,JD6,Ornamented,M,4,min,JG1,F,2,exact,0,0
