Observation_ID,Date,Year,Day_of_year,Time,Bird_ID,Observer,Sex,Plumage_score,Plumage_group,Age,Age_exact,Alarm_calling,Allopreening,Calling,Chasing,Chipping,Courtship,Flying,Foraging,Other,Preening,Scolding,Singing,Sitting,U,Vocalizing,Observation_time,Alarm_calling_prop,Allopreening_prop,Chasing_prop,Courtship_prop,Flying_prop,Foraging_prop,Other_prop,Preening_prop,Sitting_prop,Vocalizing_prop
TCH027,2016-07-21,2016,203,729,Z04,TCH,M,0,DULL,3,exact,0,29,NA,16,NA,0,3,92,0,6,NA,NA,5,149,0,300,0,0.19205298013245034,0.10596026490066225,0,0.019867549668874173,0.609271523178808,0,0.039735099337748346,0.033112582781456956,0
TCH028,2016-07-21,2016,203,748,X05,TCH,M,100,BRIGHT,4,exact,0,60,NA,0,NA,0,15,27,0,16,NA,NA,102,80,0,300,0,0.2727272727272727,0,0,0.06818181818181818,0.12272727272727273,0,0.07272727272727272,0.4636363636363636,0
FFD118,2016-07-21,2016,203,843,G09,FFD,M,0,DULL,3,min,0,0,NA,0,NA,0,10,95,0,19,NA,NA,63,113,0,300,0,0,0,0,0.053475935828877004,0.5080213903743316,0,0.10160427807486631,0.33689839572192515,0
FFD119,2016-07-21,2016,203,1139,Q10,FFD,M,5,DULL,4,min,0,0,NA,0,NA,0,0,159,0,0,NA,NA,0,140,1,300,0,0,0,0,0,0.99375,0,0,0,0.00625
TCH029,2016-07-19,2016,201,854,A02,TCH,M,0,DULL,2,exact,0,0,NA,0,NA,0,11,19,127,0,NA,NA,0,143,0,300,0,0,0,0,0.07006369426751592,0.12101910828025478,0.8089171974522293,0,0,0
FFD121,2016-07-22,2016,204,758,N10,FFD,M,90,BRIGHT,3,exact,0,0,NA,0,NA,18,11,122,0,29,NA,NA,80,26,14,300,0,0,0,0.06569343065693431,0.040145985401459854,0.44525547445255476,0,0.10583941605839416,0.291970802919708,0.051094890510948905
FFD124,2016-07-22,2016,204,1110,Q02,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,5,168,0,50,NA,NA,44,33,0,300,0,0,0,0,0.018726591760299626,0.6292134831460674,0,0.18726591760299627,0.1647940074906367,0
FFD125,2016-07-22,2016,204,1124,U07,FFD,M,100,BRIGHT,4,min,0,0,NA,0,NA,75,4,0,0,25,NA,NA,88,79,29,300,0,0,0,0.3393665158371041,0.01809954751131222,0,0,0.11312217194570136,0.39819004524886875,0.13122171945701358
FFD126,2016-07-22,2016,204,1241,A10,FFD,M,98,BRIGHT,3,exact,0,25,NA,0,NA,3,5,101,0,22,NA,NA,66,78,0,300,0,0.11261261261261261,0,0.013513513513513514,0.02252252252252252,0.45495495495495497,0,0.0990990990990991,0.2972972972972973,0
TCH030,2016-07-22,2016,204,716,A10,TCH,M,100,BRIGHT,3,exact,0,126,NA,0,NA,0,3,59,0,31,NA,NA,24,57,0,300,0,0.5185185185185185,0,0,0.012345679012345678,0.24279835390946503,0,0.12757201646090535,0.09876543209876543,0
TCH031,2016-07-22,2016,204,741,T01,TCH,M,100,BRIGHT,3,exact,0,36,NA,0,NA,0,7,0,0,133,NA,NA,47,77,0,300,0,0.16143497757847533,0,0,0.03139013452914798,0,0,0.5964125560538116,0.21076233183856502,0
TCH032,2016-07-22,2016,204,1001,W04,TCH,M,0,DULL,1,exact,0,0,NA,0,NA,0,13,120,0,0,NA,NA,47,120,0,300,0,0,0,0,0.07222222222222222,0.6666666666666666,0,0,0.2611111111111111,0
FFD127,2016-07-22,2016,204,1036,Q10,FFD,M,5,DULL,4,min,0,0,NA,0,NA,0,4,274,0,1,NA,NA,11,10,0,300,0,0,0,0,0.013793103448275862,0.9448275862068966,0,0.0034482758620689655,0.03793103448275862,0
